Tiempo desde erupcion (d);Magnitud;error (mag);Banda
0,01516;8,475;0,001;B
0,01909;8,482;0,001;B
0,05097;8,496;0,001;B
0,11338;8,349;0,001;B
0,11471;8,336;0,001;B
0,14889;8,191;0,001;B
0,1512;8,193;0,001;B
0,16788;8,206;0,001;B
0,16921;8,19;0,001;B
0,86788;8,01;0,007;B
1,535447;8,416;0,009;B
1,536245;8,415;0,009;B
1,536639;8,414;0,01;B
1,537449;8,426;0,009;B
1,537854;8,42;0,009;B
1,538259;8,418;0,008;B
1,538664;8,411;0,008;B
1,539069;8,419;0,009;B
1,539474;8,405;0,009;B
1,539891;8,479;0,009;B
1,540296;8,458;0,01;B
1,540701;8,413;0,009;B
1,541106;8,437;0,008;B
1,541512;8,46;0,008;B
1,541917;8,432;0,008;B
1,542322;8,424;0,008;B
1,542727;8,404;0,008;B
1,543143;8,395;0,009;B
1,543549;8,423;0,01;B
1,54437;8,445;0,008;B
1,545979;8,445;0,008;B
1,546384;8,434;0,008;B
1,546801;8,427;0,008;B
1,547218;8,434;0,008;B
1,547634;8,433;0,008;B
1,54863;8,441;0,008;B
1,549035;8,447;0,008;B
1,549428;8,394;0,008;B
1,549822;8,422;0,008;B
1,550192;8,431;0,008;B
1,550597;8,423;0,008;B
1,551002;8,419;0,008;B
1,551407;8,421;0,008;B
1,551812;8,419;0,008;B
1,552229;8,424;0,008;B
1,552634;8,483;0,008;B
1,553039;8,451;0,009;B
1,553433;8,428;0,01;B
1,553838;8,427;0,008;B
1,554243;8,441;0,008;B
1,554648;8,391;0,009;B
1,555042;8,415;0,009;B
1,555435;8,499;0,009;B
1,55584;8,446;0,009;B
1,556257;8,425;0,009;B
1,556662;8,44;0,009;B
1,557056;8,426;0,008;B
1,557461;8,412;0,008;B
1,557877;8,412;0,008;B
1,558271;8,419;0,008;B
1,558664;8,427;0,008;B
1,559058;8,422;0,008;B
1,559463;8,432;0,008;B
1,55988;8,424;0,008;B
1,560285;8,419;0,008;B
1,560678;8,417;0,008;B
1,561072;8,422;0,008;B
1,561477;8,428;0,008;B
1,561893;8,423;0,008;B
1,562299;8,453;0,008;B
1,562704;8,437;0,008;B
1,563109;8,437;0,008;B
1,563502;8,414;0,008;B
1,563896;8,416;0,008;B
1,564301;8,43;0,008;B
1,564706;8,434;0,008;B
1,565111;8,409;0,008;B
1,565505;8,427;0,008;B
1,565898;8,433;0,008;B
1,566315;8,434;0,008;B
1,566708;8,435;0,008;B
1,567113;8,415;0,008;B
1,567507;8,435;0,008;B
1,5679;8,44;0,008;B
1,568317;8,436;0,008;B
1,568722;8,431;0,008;B
1,569104;8,42;0,008;B
1,569521;8,42;0,008;B
1,569914;8,398;0,008;B
1,570296;8,42;0,008;B
1,57069;8,423;0,008;B
1,571106;8,417;0,008;B
1,571512;8,416;0,008;B
1,571905;8,412;0,008;B
1,572299;8,422;0,008;B
1,572715;8,413;0,008;B
1,573109;8,445;0,008;B
1,573525;8,427;0,008;B
1,573919;8,418;0,008;B
1,574312;8,412;0,008;B
1,574706;8,415;0,008;B
1,575099;8,408;0,008;B
1,575505;8,432;0,008;B
1,575898;8,418;0,008;B
1,576303;8,428;0,008;B
1,576685;8,428;0,008;B
1,577079;8,424;0,008;B
1,577472;8,404;0,008;B
1,577866;8,412;0,008;B
1,578259;8,419;0,008;B
1,578664;8,411;0,008;B
1,599006;8,442;0,006;B
1,599399;8,435;0,006;B
1,599781;8,43;0,006;B
1,600163;8,437;0,006;B
1,600534;8,425;0,006;B
1,600904;8,437;0,006;B
1,601274;8,449;0,006;B
1,601645;8,436;0,006;B
1,602015;8,433;0,006;B
1,602374;8,45;0,006;B
1,602744;8,445;0,006;B
1,603115;8,441;0,006;B
1,603473;8,449;0,006;B
1,603844;8,452;0,006;B
1,604203;8,445;0,006;B
1,604584;8,437;0,006;B
1,604955;8,453;0,006;B
1,605325;8,462;0,006;B
1,605707;8,446;0,006;B
1,606089;8,438;0,006;B
1,606448;8,456;0,006;B
1,60683;8,463;0,006;B
1,607212;8,442;0,006;B
