Tiempo desde erupcion (d);Magnitud;error (mag);Banda
0,01975;6,943;0,008;R
0,05163;6,925;0,01;R
0,11402;6,735;0,012;R
0,11537;6,757;0,023;R
0,15051;6,686;0,013;R
0,15186;6,697;0,017;R
0,16852;6,627;0,046;R
0,16986;6,658;0,022;R
0,86919;6,407;0,004;R
1,53514;6,566;0,006;R
1,535545;6,566;0,006;R
1,535939;6,525;0,007;R
1,536332;6,535;0,007;R
1,536737;6,467;0,008;R
1,537142;6,552;0,008;R
1,537547;6,56;0,007;R
1,537953;6,562;0,006;R
1,538358;6,566;0,006;R
1,538763;6,531;0,006;R
1,539168;6,619;0,006;R
1,539573;6,528;0,006;R
1,53999;6,573;0,007;R
1,540395;6,565;0,007;R
1,5408;6,545;0,006;R
1,541205;6,569;0,006;R
1,54161;6,571;0,006;R
1,542015;6,557;0,006;R
1,54242;6,554;0,006;R
1,542837;6,564;0,006;R
1,543242;6,418;0,007;R
1,543647;6,493;0,008;R
1,544052;6,574;0,006;R
1,544469;6,49;0,006;R
1,544874;6,47;0,007;R
1,545684;6,583;0,007;R
1,546078;6,561;0,006;R
1,546483;6,575;0,006;R
1,546899;6,577;0,006;R
1,547316;6,573;0,006;R
1,547733;6,561;0,006;R
1,548728;6,577;0,006;R
1,549133;6,555;0,006;R
1,549527;6,549;0,006;R
1,54992;6,567;0,006;R
1,550302;6,574;0,006;R
1,550696;6,545;0,006;R
1,551112;6,546;0,006;R
1,551517;6,539;0,006;R
1,551922;6,549;0,006;R
1,552328;6,492;0,006;R
1,552733;6,595;0,006;R
1,553138;6,584;0,006;R
1,553531;6,591;0,006;R
1,553936;6,575;0,006;R
1,554341;6,581;0,006;R
1,554746;6,518;0,006;R
1,55514;6,562;0,006;R
1,555545;6,652;0,006;R
1,55595;6,585;0,006;R
1,556355;6,575;0,007;R
1,55676;6,522;0,006;R
1,557165;6,575;0,006;R
1,557571;6,562;0,006;R
1,557976;6,577;0,006;R
1,558369;6,584;0,006;R
1,558763;6,549;0,006;R
1,559168;6,561;0,006;R
1,559573;6,595;0,006;R
1,559978;6,547;0,006;R
1,560383;6,558;0,006;R
1,560777;6,572;0,006;R
1,561182;6,553;0,006;R
1,561587;6,571;0,006;R
1,561992;6,538;0,006;R
1,562397;6,548;0,006;R
1,562802;6,545;0,006;R
1,563207;6,586;0,006;R
1,563601;6,566;0,006;R
1,564006;6,583;0,006;R
1,564411;6,592;0,006;R
1,564804;6,618;0,006;R
1,565209;6,567;0,006;R
1,565603;6,618;0,006;R
1,566008;6,596;0,006;R
1,566413;6,684;0,006;R
1,566807;6,638;0,006;R
1,567212;6,643;0,006;R
1,567617;6,568;0,006;R
1,56801;6,564;0,006;R
1,568415;6,621;0,006;R
1,568821;6,607;0,006;R
1,569214;6,574;0,006;R
1,569619;6,603;0,006;R
1,570013;6,581;0,006;R
1,570406;6,568;0,006;R
1,5708;6,585;0,006;R
1,571205;6,598;0,006;R
1,57161;6,574;0,006;R
1,572015;6,598;0,006;R
1,572409;6,595;0,006;R
1,572814;6,635;0,006;R
1,573207;6,63;0,006;R
1,573624;6,653;0,006;R
1,574017;6,572;0,006;R
1,574411;6,612;0,006;R
1,574804;6,618;0,006;R
1,575209;6,553;0,006;R
1,575603;6,566;0,006;R
1,576008;6,568;0,006;R
1,576402;6,573;0,006;R
1,576784;6,58;0,006;R
1,577189;6,575;0,006;R
1,577571;6,611;0,006;R
1,577964;6,616;0,006;R
1,578369;6,611;0,006;R
1,578763;6,572;0,006;R
1,579168;6,625;0,006;R
1,579561;6,591;0,006;R
1,579955;6,63;0,006;R
1,58036;6,605;0,006;R
1,580753;6,553;0,006;R
1,581159;6,675;0,006;R
1,581552;6,567;0,006;R
1,5822;6,56;0,006;R
1,582594;6,577;0,006;R
1,582987;6,596;0,006;R
1,583381;6,581;0,006;R
1,583763;6,619;0,006;R
1,584156;6,584;0,006;R
1,584561;6,569;0,006;R
1,584955;6,593;0,006;R
1,585337;6,579;0,006;R
1,58573;6,598;0,006;R
1,586112;6,581;0,006;R
1,586506;6,564;0,006;R
1,586899;6,586;0,006;R
1,587293;6,568;0,006;R
1,587686;6,576;0,006;R
1,588068;6,573;0,006;R
1,58845;6,598;0,006;R
1,588832;6,625;0,006;R
1,589214;6,633;0,006;R
1,589608;6,617;0,006;R
1,590001;6,661;0,006;R
1,590395;6,628;0,006;R
1,590777;6,652;0,006;R
1,591159;6,66;0,006;R
1,591552;6,6;0,006;R
1,591946;6,67;0,006;R
1,592339;6,641;0,006;R
1,592733;6,636;0,006;R
1,593115;6,585;0,006;R
1,599104;6,553;0,008;R
1,599498;6,57;0,008;R
1,59988;6,558;0,008;R
1,600262;6,566;0,008;R
1,600632;6,581;0,008;R
1,600991;6,548;0,008;R
1,601373;6,563;0,008;R
1,601743;6,554;0,008;R
1,602113;6,569;0,008;R
1,602472;6,572;0,008;R
1,602843;6,579;0,008;R
1,603213;6,581;0,008;R
1,603572;6,56;0,008;R
1,603942;6,561;0,008;R
1,604301;6,556;0,008;R
1,604683;6,567;0,008;R
1,605053;6,566;0,008;R
1,605424;6,594;0,008;R
1,605806;6,564;0,008;R
1,606187;6,593;0,008;R
1,606546;6,573;0,008;R
1,606928;6,584;0,008;R
1,60731;6,595;0,008;R
1,607681;6,569;0,008;R
1,608062;6,604;0,008;R
1,608433;6,542;0,008;R
1,608815;6,587;0,008;R
1,609174;6,567;0,008;R
1,609556;6,601;0,008;R
1,609903;6,587;0,008;R
1,610285;6,648;0,008;R
1,610655;6,59;0,008;R
1,611025;6,595;0,008;R
1,611384;6,588;0,008;R
1,611766;6,551;0,008;R
1,612148;6,593;0,008;R
1,61253;6,624;0,008;R
1,613282;6,588;0,008;R
1,613653;6,579;0,008;R
1,614023;6,59;0,008;R
1,614405;6,578;0,008;R
1,614775;6,586;0,008;R
1,615146;6,605;0,008;R
1,615528;6,593;0,008;R
1,61591;6,565;0,008;R
1,616268;6,587;0,008;R
1,616639;6,607;0,008;R
1,617009;6,587;0,008;R
1,61738;6,565;0,008;R
1,61775;6,586;0,008;R
1,61812;6,586;0,008;R
1,618491;6,611;0,008;R
1,618861;6,583;0,008;R
1,619231;6,586;0,008;R
1,619602;6,586;0,008;R
1,619972;6,601;0,008;R
1,620343;6,592;0,008;R
1,620713;6,579;0,008;R
1,621083;6,637;0,008;R
1,621454;6,608;0,008;R
1,621824;6,552;0,008;R
1,622194;6,637;0,009;R
1,622576;6,667;0,008;R
1,622935;6,648;0,008;R
1,623294;6,587;0,008;R
1,623676;6,603;0,008;R
1,624035;6,602;0,008;R
1,624405;6,599;0,008;R
1,624787;6,593;0,008;R
1,625157;6,601;0,008;R
1,625528;6,603;0,008;R
1,62591;6,597;0,008;R
1,626268;6,63;0,008;R
1,62665;6,588;0,008;R
1,627009;6,607;0,008;R
1,627391;6,591;0,008;R
1,62775;6,616;0,008;R
1,62812;6,616;0,008;R
1,628514;6,603;0,008;R
1,628873;6,598;0,008;R
1,629243;6,609;0,008;R
1,629625;6,592;0,008;R
1,629995;6,611;0,008;R
1,630366;6,605;0,008;R
1,630736;6,574;0,008;R
1,631095;6,597;0,008;R
1,631477;6,592;0,008;R
1,631836;6,612;0,008;R
1,632218;6,637;0,008;R
1,632576;6,591;0,008;R
1,632947;6,612;0,008;R
1,633329;6,611;0,008;R
1,633699;6,65;0,008;R
1,634081;6,609;0,008;R
1,63444;6,609;0,008;R
1,634822;6,599;0,008;R
1,635204;6,582;0,008;R
1,635586;6,619;0,008;R
1,635944;6,594;0,008;R
1,636315;6,581;0,008;R
1,636708;6,632;0,008;R
1,637102;6,627;0,008;R
1,637484;6,633;0,008;R
1,637877;6,614;0,008;R
1,638259;6,615;0,008;R
1,638653;6,616;0,008;R
1,639035;6,655;0,008;R
1,639428;6,609;0,008;R
1,63981;6,606;0,008;R
1,640192;6,624;0,008;R
1,640574;6,631;0,008;R
1,640956;6,604;0,008;R
1,641349;6,616;0,008;R
1,641731;6,601;0,008;R
1,642113;6,525;0,008;R
1,642495;6,664;0,008;R
1,642889;6,656;0,008;R
1,643271;6,637;0,008;R
1,643653;6,61;0,008;R
1,644046;6,618;0,008;R
1,64444;6,582;0,008;R
1,644822;6,681;0,008;R
1,645215;6,635;0,008;R
1,645597;6,629;0,008;R
1,645991;6,625;0,008;R
1,646384;6,615;0,008;R
1,646789;6,628;0,008;R
1,647171;6,614;0,008;R
1,64753;6,629;0,008;R
1,647912;6,617;0,008;R
1,648282;6,653;0,008;R
1,648664;6,662;0,008;R
1,649046;6,627;0,008;R
1,649428;6,629;0,008;R
1,649799;6,627;0,009;R
1,650192;6,645;0,008;R
1,650574;6,633;0,008;R
1,650968;6,615;0,008;R
1,651349;6,626;0,009;R
1,651731;6,701;0,008;R
1,65209;6,629;0,008;R
1,652472;6,679;0,008;R
1,652843;6,642;0,008;R
1,653236;6,663;0,008;R
1,653595;6,643;0,008;R
1,653977;6,647;0,008;R
1,654359;6,663;0,008;R
1,654741;6,62;0,008;R
1,655123;6,656;0,008;R
1,655516;6,636;0,008;R
1,65591;6,662;0,008;R
1,656268;6,657;0,008;R
1,65665;6,648;0,008;R
1,657032;6,673;0,008;R
1,657403;6,625;0,008;R
1,657773;6,65;0,008;R
1,658155;6,653;0,008;R
1,658537;6,647;0,008;R
1,658919;6,63;0,008;R
1,659289;6,669;0,008;R
1,659671;6,648;0,008;R
1,660042;6,658;0,008;R
1,660424;6,691;0,008;R
1,660794;6,679;0,008;R
1,661164;6,65;0,008;R
1,661546;6,668;0,008;R
1,661928;6,663;0,008;R
1,662299;6,667;0,008;R
1,662669;6,656;0,008;R
1,663051;6,663;0,008;R
1,663421;6,648;0,008;R
1,663803;6,656;0,008;R
1,664174;6,648;0,008;R
1,664556;6,658;0,008;R
1,664937;6,685;0,008;R
1,665308;6,678;0,008;R
1,665678;6,676;0,008;R
1,66606;6,654;0,008;R
1,666442;6,681;0,008;R
1,666824;6,674;0,008;R
1,667194;6,658;0,008;R
1,667565;6,639;0,008;R
1,667947;6,669;0,008;R
1,668329;6,655;0,008;R
1,668711;6,658;0,008;R
1,669081;6,665;0,008;R
1,669463;6,619;0,008;R
1,669845;6,658;0,008;R
1,670227;6,638;0,008;R
1,670609;6,647;0,008;R
1,671002;6,633;0,008;R
1,671373;6,671;0,008;R
1,671755;6,641;0,008;R
1,672137;6,65;0,008;R
1,672518;6,661;0,008;R
1,672912;6,658;0,008;R
1,673294;6,635;0,008;R
1,673676;6,664;0,008;R
1,674058;6,659;0,008;R
1,67444;6,657;0,008;R
1,674822;6,648;0,008;R
1,675204;6,64;0,008;R
1,675586;6,68;0,008;R
1,675968;6,644;0,008;R
1,676349;6,646;0,008;R
1,67672;6,648;0,008;R
1,677102;6,705;0,01;R
1,677484;6,613;0,011;R
1,677866;6,629;0,009;R
1,678248;6,65;0,008;R
1,678618;6,666;0,008;R
1,678988;6,639;0,008;R
1,679359;6,649;0,009;R
1,679729;6,674;0,008;R
1,680111;6,625;0,008;R
1,680493;6,668;0,011;R
1,92808;6,115;0,005;R
2,09035;6,666;0,008;R
2,506893;7,075;0,009;R
2,507264;7,002;0,01;R
2,507646;7,041;0,01;R
2,508016;7,001;0,01;R
2,508375;6,967;0,009;R
2,508745;7,009;0,01;R
2,509127;7;0,009;R
2,509498;7,016;0,01;R
2,509856;7,102;0,01;R
2,510227;7,022;0,01;R
2,510609;6,977;0,01;R
2,510979;7,058;0,01;R
2,511349;7,024;0,01;R
2,511731;7,029;0,01;R
2,512113;6,899;0,01;R
2,512495;7,089;0,009;R
2,512866;7,008;0,01;R
2,513248;7,056;0,01;R
2,513618;6,941;0,01;R
2,514;7,082;0,01;R
2,514359;7,047;0,01;R
2,514729;6,961;0,01;R
