Tiempo desde erupcion (d);Magnitud;error (mag);Banda
0,01943;7,638;0,001;V
0,11372;7,455;0,001;V
0,11505;7,411;0,001;V
0,15021;7,349;0,001;V
0,16821;7,321;0,001;V
0,16954;7,287;0,001;V
0,25273;7,155;0,016;V
0,86835;7,117;0,005;V
1,389052;7,427;0,01;V
1,42014;6,777;0,018;V
1,524035;7,416;0,01;V
1,52444;7,37;0,011;V
1,524856;7,538;0,008;V
1,529312;7,475;0,006;V
1,529718;7,445;0,006;V
1,530123;7,478;0,006;V
1,531338;7,418;0,007;V
1,532137;7,49;0,007;V
1,534544;7,413;0,007;V
1,534937;7,378;0,006;V
1,535343;7,488;0,006;V
1,535736;7,369;0,006;V
1,536141;7,382;0,006;V
1,537345;7,445;0,006;V
1,53775;7,446;0,006;V
1,538155;7,381;0,005;V
1,53856;7,384;0,005;V
1,538965;7,38;0,005;V
1,53937;7,407;0,006;V
1,539787;7,371;0,006;V
1,540192;7,385;0,006;V
1,540597;7,373;0,006;V
1,541002;7,407;0,005;V
1,541407;7,379;0,005;V
1,541812;7,43;0,005;V
1,542218;7,421;0,006;V
1,542623;7,4;0,005;V
1,543039;7,399;0,005;V
1,543444;7,264;0,007;V
1,543849;7,403;0,006;V
1,544255;7,362;0,006;V
1,544671;7,334;0,006;V
1,545076;7,347;0,006;V
1,545875;7,368;0,005;V
1,54628;7,393;0,005;V
1,546697;7,459;0,005;V
1,547102;7,43;0,005;V
1,54753;7,411;0,005;V
1,548531;7,374;0,007;V
1,548925;7,361;0,007;V
1,54933;7,343;0,007;V
1,549723;7,366;0,006;V
1,550094;7,37;0,007;V
1,550499;7,351;0,007;V
1,550904;7,359;0,006;V
1,551309;7,37;0,007;V
1,551714;7,384;0,006;V
1,552119;7,394;0,007;V
1,552524;7,356;0,007;V
1,552929;7,325;0,008;V
1,553323;7,318;0,008;V
1,553728;7,381;0,007;V
1,554133;7,351;0,007;V
1,55455;7,389;0,007;V
1,554943;7,406;0,007;V
1,555337;7,343;0,007;V
1,555742;7,354;0,008;V
1,556147;7,336;0,007;V
1,556564;7,343;0,008;V
1,556957;7,38;0,007;V
1,557362;7,36;0,007;V
1,557767;7,38;0,006;V
1,558172;7,369;0,006;V
1,558566;7,378;0,007;V
1,558959;7,382;0,006;V
1,559365;7,373;0,006;V
1,55977;7,359;0,006;V
1,560186;7,357;0,006;V
1,56058;7,368;0,006;V
1,560973;7,336;0,007;V
1,561378;7,395;0,007;V
1,561784;7,361;0,007;V
1,5622;7,341;0,006;V
1,562594;7,356;0,006;V
1,56301;7,414;0,007;V
1,563404;7,369;0,007;V
1,563797;7,43;0,006;V
1,564203;7,426;0,006;V
1,564596;7,381;0,006;V
1,565013;7,354;0,006;V
1,565406;7,354;0,006;V
1,5658;7,386;0,006;V
1,566205;7,437;0,006;V
1,566598;7,435;0,007;V
1,567015;7,424;0,006;V
1,567409;7,43;0,006;V
1,567802;7,428;0,006;V
1,568207;7,363;0,006;V
1,568624;7,382;0,006;V
1,569006;7,367;0,006;V
1,569411;7,373;0,006;V
1,569804;7,401;0,006;V
1,570198;7,377;0,006;V
1,570591;7,375;0,006;V
1,570996;7,413;0,006;V
1,571413;7,375;0,006;V
1,571807;7,357;0,006;V
1,5722;7,354;0,006;V
1,572605;7,365;0,006;V
1,57301;7,359;0,006;V
1,573415;7,42;0,006;V
1,573809;7,453;0,006;V
1,574203;7,46;0,006;V
1,574608;7,47;0,006;V
1,575001;7,363;0,006;V
1,575395;7,338;0,007;V
1,5758;7,362;0,007;V
1,576193;7,386;0,006;V
1,576575;7,35;0,006;V
1,57698;7,396;0,006;V
1,577362;7,393;0,006;V
1,577767;7,474;0,006;V
1,578161;7,394;0,007;V
1,598907;7,368;0,009;V
1,599301;7,366;0,009;V
1,599671;7,389;0,009;V
1,600065;7,398;0,009;V
1,600435;7,4;0,01;V
1,600806;7,362;0,009;V
1,601187;7,343;0,009;V
1,601546;7,38;0,009;V
1,601917;7,368;0,009;V
1,602275;7,391;0,009;V
1,602646;7,365;0,01;V
1,603016;7,376;0,01;V
1,603375;7,355;0,009;V
1,603745;7,4;0,009;V
1,604104;7,38;0,009;V
1,604486;7,391;0,01;V
1,604856;7,391;0,009;V
1,605238;7,381;0,009;V
